screen_name,user_key,label_binary,followers_count,friends_count,favourites_count,listed_count,media_count,statuses_count,user_age,follower_growth_rate,friends_growth_rate,default_profile,default_profile_image,has_custom_timelines,possibly_sensitive,hashtag_in_description,numbers_in_description,no_type_tweet,no_type_retweet_with_comment,no_type_reply,mean_no_media_per_tweet,mean_no_words,no_languages,mean_no_hashtags,mean_favourites_per_tweet,time_between_tweets,tweet_frequency,min_tweets_per_hour,min_tweets_per_day,max_tweets_per_hour,max_tweets_per_day,max_occurence_of_same_gap,unique_mention_rate_per_tweet,mean_user_mentions_per_tweet,retweet_as_tweet_rate,no_retweet_tweets,mean_retweets_per_tweet,description_length,followers_friend_ratio,num_digits_in_name,num_digits_in_username,url_in_description
Dokhi_sag,dokhi_sag,0,2.2607102568774637,1.9221680824632392,-0.7170081183676303,0.800935923563223,-0.21828840969398952,-0.6482783746018014,-0.3930131004366812,2.675818274100912,3.8166272700639636,1.0,0.0,1.0,0.0,1.0,0.0,-0.2006906049011154,-0.5,0.0,0.3113746724727663,0.1853173600613606,0.0,-0.15522797808748992,0.9348192179278434,0.4107888892052646,-0.313450011377694,0.0,0.0,-0.4425070493497601,-0.3236566839097652,-0.3236566839097652,-0.2576036959637148,-0.2785014162449113,0.047134375671891195,-0.6480592087069201,0.3724443809483992,0.4782608695652174,-0.34491495282283063,0.0,0.0,0.0
History_Wall,history_wall,0,-0.6610917287032014,-0.41218581234652707,-0.2110433845009389,-0.6719500161730103,-1.1619893050280754,-0.9568842251605751,-0.24556896994605704,-0.5913167663718648,-0.16316253019610474,1.0,0.0,0.0,0.0,1.0,0.0,0.30976516687567374,0.2924812503605782,0.3154648767857287,-0.01638764901224175,0.6463439356144727,0.0,0.14143461093993986,0.2910521809023941,0.49412305249985533,-0.6702043113306134,0.0,0.0,0.55749295065024,0.4077591983577851,0.5532947556651121,0.40651534452642235,0.3955826624829151,-0.6088602022785499,-0.9580210493047078,-0.010402784566899012,0.5652173913043478,-0.03801881066648256,0.0,0.0,0.0
corrrdeliiiaaa,corrrdeliiiaaa,0,-0.974404998577284,-1.492217238429022,1.2272290790783102,0.0,1.0070422971597042,1.0174125083640047,-0.14025173388132545,-0.8788444623614846,-0.5238031432475245,1.0,0.0,1.0,0.0,0.0,0.0,-0.2006906049011154,-0.5,-0.3154648767857287,0.3113746724727663,-1.1968957127817492,0.0,0.4645900188559534,-2.2726491877990305,0.20407820118433578,1.0056075308540342,0.0,0.0,0.0,0.0,0.0,0.7423963040362852,0.27335618006846407,0.8976496390801884,1.0170393594420146,-1.6142474614235454,-0.6630434782608695,0.685375314695353,0.0,0.0,0.0
ahmad_313m,ahmad_313m,0,-0.10304326991892407,-2.7655181609709456,-2.4117127653007056,0.714902791061531,-0.8818041938004182,-1.2248608603644262,-0.6005651168764449,0.3949350873042195,-0.5647612763585362,1.0,0.0,0.0,0.0,0.0,0.0,-0.35998769969564104,-0.5,-0.3154648767857287,-1.2454986898910656,1.0688444460666622,0.0,-2.244921272495501,-0.9630685024662268,-2.746795789993661,-0.5685820516739575,0.6931471805599453,1.0,-0.4425070493497601,-0.3236566839097652,-0.3236566839097652,-0.2576036959637148,-0.2785014162449113,-0.0327281925849071,-1.2243406368810594,-1.0240635187368146,-0.6630434782608695,2.410511379063142,0.0,1.2618595071429148,0.0
kouresh_kabir,kouresh_kabir,0,0.07010423053671538,0.5928055989537799,-0.14731110343268908,-0.19906407643677707,0.668361860192672,-0.18231702739284236,0.5789879270485486,-0.4795531105787756,0.4692541640433169,1.0,0.0,1.0,0.0,0.0,0.0,1.1176937071369921,-0.5,0.885621874580711,0.13383661859560675,0.08575540352631614,1.0,1.2116738786418302,0.18681311683895402,0.05763805914247722,-0.4186340000812182,0.0,0.0,0.55749295065024,1.2847106379326625,1.4302461952399892,0.35576858277363116,0.33544273441353334,-0.8756607119666568,-0.1852251065523855,0.2684576725499778,0.7717391304347826,-0.37598520123871937,0.0,0.0,0.0
zone7689,zone7689,1,-0.12114988124203514,-0.7022456684755816,0.00015991748106527643,-0.6719500161730103,-0.15982216708873836,0.03771447600081788,-0.4423323914718726,0.10049520008909828,-0.24742928738550587,1.0,0.0,0.0,0.0,1.0,1.0,0.07162957732960912,0.2924812503605782,0.5701569977949824,-0.1676628061396858,-0.15160044042261692,1.0,-0.10161061923592671,-0.008714763031788267,0.536593986293242,0.3434112523524215,0.0,0.0,0.0,0.0,-0.3236566839097652,0.8735839469795295,0.6414600066530008,0.11373909255156117,0.03752739553780821,0.08639253238707763,0.7934782608695652,0.4660607066544001,0.0,1.4649735207179269,0.0
rahar9075,rahar9075,1,-0.02229631719576036,0.7746916858831795,0.030814488358282235,-0.2850972089384689,1.6120308039821853,0.8045539008746778,-0.5034677626509119,0.29444825268553126,1.7293264206344734,1.0,0.0,1.0,0.0,1.0,1.0,0.7168197601249716,2.3639602272816,1.695636151928291,-0.14062147270878844,0.7353169781445178,2.8073549220576037,0.1541308618832508,-0.931505942863477,-0.14315108082509984,1.1288075788493808,0.0,0.0,0.9247041696625747,1.7237772057925873,2.6786671477173414,0.5180572387887257,2.401969663568888,-0.0496491272332549,0.8032696367052866,-0.5083775641076336,0.8152173913043478,-0.48561338070990984,0.0,1.4649735207179269,0.0
rahayee_,rahayee_,0,0.5393034949337442,0.7530576126242756,0.007934979177982006,0.05319362416730372,-0.2155874271120715,0.5173482476220627,-0.12535319804777806,0.40198732173211815,1.170601174831883,1.0,0.0,1.0,0.0,0.0,0.0,-0.35998769969564104,-0.5,-0.3154648767857287,-1.2454986898910656,-0.2713235927920488,0.0,0.4645900188559534,-0.6978895286979417,-2.746795789993661,0.5271299599640986,1.0986122886681098,1.5849625007211563,0.0,0.0,0.0,-0.2576036959637148,-0.2785014162449113,0.8568724687595968,0.5172105887449554,-1.0240635187368146,-0.8913043478260869,-0.30169173567676055,0.0,0.0,0.0
NaderSoltanpour,nadersoltanpour,0,1.3840504880287838,-0.7061494113936587,-1.5166761514598024,1.2262943855309165,-0.8453843193865747,-1.4837171526953008,1.274595427690727,0.4911547277641933,-0.4854216209902951,0.0,0.0,1.0,0.0,0.0,1.0,-0.6323078819263657,0.0,-0.3154648767857287,-1.2454986898910656,2.198386819307746,0.0,-2.244921272495501,0.7873910389215741,-2.746795789993661,-1.3307462964534862,1.0986122886681098,1.5849625007211563,0.0,0.0,0.0,-0.2576036959637148,-0.2785014162449113,-0.16493994026720663,-1.483168604556208,0.46449668617755063,0.14130434782608695,1.3136646295441072,0.0,0.0,1.0
fatemeh_sadat91,fatemeh_sadat91,0,0.38944556044277645,-0.148302181162155,0.5787862274779999,0.666340816932762,0.3857928508091545,-0.08087642682193748,-0.1166195735936296,0.24010408007626496,-0.02162457098651994,1.0,0.0,1.0,0.0,0.0,0.0,-0.35998769969564104,-0.5,-0.3154648767857287,0.3113746724727663,-0.642883548880469,0.0,-0.5354099811440466,0.15525939229366112,-2.746795789993661,-0.023770587747876586,0.6931471805599453,1.0,-0.4425070493497601,-0.3236566839097652,-0.3236566839097652,-0.2576036959637148,-0.2785014162449113,0.5514297801249092,-0.08074769957992972,-0.16626344239920746,0.08695652173913043,0.2731200017218095,0.0,1.0,0.0
