screen_name,tweet_count,mean_like_count,mean_reply_count,mean_retweet_count,mean_quote_count
007mi00,21,585.9047619047619,48.0,136.8095238095238,7.0
0DZiSITpiiNtEKe,220,34.372727272727275,5.886363636363637,9.040909090909091,0.5227272727272727
0mhp037,1,2126.0,289.0,197.0,21.0
0xKaveh,1,51.0,4.0,0.0,0.0
18Mandana,11,34.45454545454545,3.727272727272727,11.272727272727273,0.8181818181818182
1fE0H6Rofed6H0P,25,1.56,0.12,0.04,0.0
2002Kingfox,38,3002.4210526315787,62.5,413.7368421052632,6.078947368421052
2EXPvZWQ7LLPX4P,3,229.33333333333334,10.0,36.666666666666664,1.0
2TOSgzCFJ8VtSJK,4,0.5,0.5,0.0,0.25
2_grami,3,4.666666666666667,0.0,0.3333333333333333,0.0
5anazazana5,6,403.0,30.666666666666668,138.5,5.0
5pickkk,116,410.1465517241379,24.887931034482758,91.17241379310344,2.3879310344827585
6njeli,15,321.1333333333333,13.266666666666667,33.0,1.0666666666666667
777Masiha,4,3.25,0.0,1.25,0.0
AAzadian2005,1,0.0,0.0,0.0,0.0
ALBORZ_ANJOMAN,45,299.8,8.422222222222222,88.73333333333333,3.2444444444444445
ANITABAKT,18,452.0,5.888888888888889,71.38888888888889,0.8333333333333334
ANTIAMOONiM,57,126.15789473684211,8.070175438596491,29.75438596491228,0.7017543859649122
ANTYTHEZIS,25,18.84,0.56,3.72,0.04
ANUBIS_GOD2,77,282.54545454545456,49.506493506493506,50.44155844155844,3.6623376623376624
APasserby12,84,369.1309523809524,6.464285714285714,74.35714285714286,1.9880952380952381
ARDESHIR005,12,1986.0,19.916666666666668,472.9166666666667,6.833333333333333
ARHAMEL2,974,405.2700205338809,15.717659137577002,88.43634496919918,2.0
AYAyatollahi,1,342.0,3.0,50.0,1.0
A_Jafarzadeh,1,590.0,355.0,486.0,34.0
AbiDel23952698,8,94.375,3.25,23.625,0.375
AccuracyHHM,102,203.7156862745098,7.137254901960785,60.63725490196079,2.2549019607843137
Achaemenid2582,17,302.3529411764706,21.470588235294116,84.58823529411765,2.7058823529411766
Action4IR,2,221.0,16.5,88.5,6.5
Addison77866447,55,188.74545454545455,22.236363636363638,36.54545454545455,1.4181818181818182
AdelBadel7,6,15.666666666666666,1.1666666666666667,2.3333333333333335,0.16666666666666666
Adlin_SheHulk,76,274.36842105263156,9.105263157894736,38.89473684210526,0.9342105263157895
AfshinEllian1,1,1549.0,108.0,397.0,20.0
AghayeThomas,14,1.3571428571428572,0.42857142857142855,0.07142857142857142,0.0
AhmadySetareh,4,1.75,0.25,0.25,0.0
Airf0rArts,2,62.5,1.0,13.5,1.0
AjaNews_persian,1,8.0,0.0,3.0,1.0
Akhis_pakhis2,36,8.5,0.3888888888888889,1.1111111111111112,0.027777777777777776
AkhoondeMorde,42,746.452380952381,48.45238095238095,160.78571428571428,4.785714285714286
AlArabiya_Fa,1,76.0,158.0,17.0,22.0
Alex47778556934,1,205.0,23.0,9.0,1.0
Ali49781135,65,90.0,2.8153846153846156,21.43076923076923,0.8307692307692308
AliAghell,2,592.5,20.5,142.5,4.5
AliAlimartin893,209,198.44497607655504,22.43062200956938,63.32057416267943,4.4066985645933014
AliEbrahimzade_,6,942.3333333333334,644.6666666666666,142.33333333333334,38.333333333333336
AliHamid27,10,2118.4,82.3,279.3,18.5
AliReza_Hafezi1,1,1049.0,530.0,127.0,14.0
AliZolg85051503,30,5.1,0.23333333333333334,0.6666666666666666,0.03333333333333333
Alighazizade,1,3633.0,1367.0,483.0,99.0
AlinejadMasih,2,2460.5,339.5,297.0,117.5
Alireza7553,11,47.0,1.4545454545454546,8.727272727272727,0.09090909090909091
Amardiyamm,1,131.0,2.0,17.0,0.0
AmiinMosavii94,1,1087.0,276.0,143.0,21.0
AminBehroozi2,143,8.853146853146853,0.965034965034965,2.825174825174825,0.03496503496503497
AmirHadiAnvari,2,4288.0,163.5,277.0,11.0
AmirTaheri4,1,419.0,26.0,150.0,11.0
AmiriySara,2,0.0,0.0,0.0,0.0
Amooamirkhan,6,163.0,18.166666666666668,8.0,1.8333333333333333
Angel71as,1,31.0,5.0,2.0,0.0
AngelOnDuty06,227,377.9867841409692,10.154185022026432,49.65638766519824,1.013215859030837
Ansari_Bahman,2,513.0,12.5,52.5,6.0
AntiProp_aganda,6,258.6666666666667,6.0,13.666666666666666,0.8333333333333334
AplcarolineDr,76,9.473684210526315,0.47368421052631576,2.3815789473684212,0.06578947368421052
AppleFarsii,1,0.0,0.0,0.0,1.0
Arad60292050,1001,772.2397602397602,22.030969030969032,138.77322677322678,2.7002997002997002
Aramofen,91,162.0,13.384615384615385,66.81318681318682,4.175824175824176
Arash87kamangir,69,154.2753623188406,10.942028985507246,50.63768115942029,2.2028985507246377
Arashir22142540,6,189.16666666666666,12.666666666666666,35.0,1.8333333333333333
ArdavanMofid,4,732.5,26.5,142.0,5.5
