screen_name,tweet_count
IranLionness,1
IranNewsAgency0,171
IranNovinParty,4
IranPlateau1,128
Iran_Farda1,13
Iran_Mehr_2016,1
Iranaryan2579,85
Iraneshghal,14
Iranetanha,7
IraniMamoka,39
IranianArts,1
IranianPlateau,4
IranianWoman,1
Iranistics_UT,2
IsraelPersian,3
ItsKouroshKabir,5
Ivar_lathbrug2,2401
J1nne,1
JBehieh,17
JC_Constantine1,15
JM_pensylvani,1
JahangirTaban,6
JamesDeanUFO,416
JananKhorram,67
JaneVatan,1
JashniMitra,35
JavidShah0000,782
JavidShahansha,52
JavidanIranema,2
Jo5x8HaTcF3o5Px,210
JoOldooz,10
KFravahar,64
KalavaniSamad,61
Kamangir_133,6
KambizGhafouri,1
Kamran99575602,114
KamranMatin,1
KarimSnowman,1
KasraAarabi,2
KathyMobarez,1025
Katierebel2nd,80
KayhanLondon,25
KhatibiOfficial,1
Khosrowalikord2,1
KiMo10626877,975
KingBacker1,15
KingMaziyar,42
Klaus70268175,17
KnightAnahita19,128
Kolmar_kolmar,19
Koroshariae2021,1
Kourosh634,67
L0mpan,209
LadiKhanom,1
LadyJusticeIran,10
LakLak_Muzik,1
LawdanBazargan,1
Leila_Arya2,882
LiberalArtist00,2
Liberti2022,1
LibertyIranian,5
LightofRev,1
Lilium52709755,1
Lily92874373,112
LisaDaftari,3
LoabatK,2
LocallAndia,261
M0rtezaaaa,49
MChok7,102
MFshfshh71601,38
MOperaPhantom,1
MRYAZDAN,9
MRasayeshh,1
MadariSarzamin,5
MahdaviLeily,1
Mahizadyaar,32
Mahmoud55791825,14
MahmoudZibaie,3
MahnazShirali,2
Mahnush_A,66
Maj_mohammadi,1
MajidH44995071,26
MajidTavakolii,1
Majidirani99,46
Malin54449388,170
Malusakam,382
ManotoNews,51
Mard62881776,30
MardomakOnline,10
Marie36822764,228
MaryamDior,1
MaryamSarabii,1
Maryam_Rajavi,2
Maryam_Rajavi_P,1
MasIoob,3
Masad75405681,8
MashinMonee,3
MasoodBabapoor,1
MasoudSlii,1
Matinkhaledii,48
MaximReza3,533
Mayekhal,58
MayraYazdari,3
MazdakBAMDADAN2,3
MbShahnaz,60
Me_Hamed_Myself,3
Me_Unstoppable2,9
Medinfo_X,4
MehdiHajati,5
MehdiMMJ,1
Mehr_mihan,1
MehranShirazii,87
Mhrdadbarandaz3,96
Milad_Aghai1,1
Miss_Maropelle,7
Mitra_Jashni,13
Mmlekate,5
Mohadeseh1133,1
MohajranIran,16
Mohamad43059166,5
MohammadLak79,2
MohammadSaam_M,1
MohammadSigari,1
Mojtabapacino,2
Monarchy34,22
MonarchyLondon,130
Mooniter,1
Moradian_ir,1
Moriyarty1,48
Mosolchi,121
Mr20228,14
MrHiccup42,322
MuradyDiako,3
NFreeIran2022,52
NR2OH,2
NUFDIran,4
NaaserXA,5
NaderSoltanpour,1
NaeimShahi_Nima,293
NaeimehDoustdar,1
NaghmeL,162
NahidGhani,16
Najibnaik,1
NapelOn_daii,103
Nargolsafa,41
NasehMohi,1
Nasim_zephyr,92
Nasrinrose1,2
Nastaran9638495,497
Nationalist101,20
Neda73Neda,241
Nemiphos,1
Nemo_Regnum,27
Nezha_9515,5
Nickkhoo_arash,1
NikiPatriot,109
NilaBehzadi,4
Nilgonbanoo,4
Nokhod_f,1
NoushaEshghi,118
OfficialSimin,2
Oliver_jzy,24
OmidKT62,12
Omidam_Hamin,4
Overthrower_,8
PDKIfarsi,1
PIISHGOO,2
PMOIRAN,2
Pahlavi3vom,2
Pahlavi433726,34
PahlaviKourosh,2310
PahlaviReza,30
PahlaviahoraeeP,1476
Pahlavist2582,40
PanteaPeyvandi,173
PanteaRasouli,26
ParhamRamin,3
Parinaz_ETSM,3
Parpanchi,1
Parsaghobadi123,4
ParthianE,9
PartyPikp2582,2
Parvin965631051,4
PeaceHappyJoy,38
Pedar_Bozorgggg,6
Pegahan__,49
Peleja11,24
Peroz401939762,171
PersianGW,434
Persian_picture,12
PhoenixprjIran,3
Pirooz25372,69
PnMd1982,217
ProSHaHansHaaHi,5
Pro_Pahlavi,472
ProjectLeonOnX,36
PsrAsfhan27734,4
Qaaaasem,6
Queenaurora209,59
R0tterdamer,2
RADOCLUB,30
RBehrouzDO,85
REGIME_CHANGE03,19
REZAKH__,2
RFI_Fa,1
RShemroon,8
RadioFarda_,2
RadioZamaneh,1
Radiomashrooteh,8
Radman2576,7
RadmanIrani,20
RadmehrSiavash,1
RageAndHope,2
Raha_B_E_1,348
Rayan9717,7
Rchii_joon,1
RealAliJalali,32
RealPersianGod,34
Reddington_LA,38
Revolution_R_,138
RezaAhmadi_Lion,1
RezaRez11109331,40
RezaS27,11
RezaS49,56
RezaSensourfree,162
RezaVaisi,1
Reza__Soleimani,1
Rezahashemi1919,227
Roobahyab1,3
RosebudDonKhoan,105
Roshanaeii,12
Rppress0,99
RufusBeyn,2
RustaMasoud,31
SARBAZEH_VATAN1,7
SFaeze_Alavi,65
SGhasseminejad,13
SHAHIAVID,10
SHAYA9000,18
SaamGivrad,1
SabaBakhtyari,10
Sadaf__12,1
Saeed48920740,3
Safa_8863,117
SafaiDarya,1
SaharKhodayarii,2
SaiedehSaideh59,153
SalmanSima,10
SamanArbabi,1
SamanthaIrani,389
Samar_Iran,7
Sandisodoleh,16
Santamorte00,12
Saraab23734615,134
SasanAmjadi,1
Sashtyani,3
SavaSavadkoohi,37
Schahrzad_b,17
Scorpionofiran1,2
SedSia,4
SepehriHamed,7
Sepideh52191550,757
Sepiderashidi,1
Serpicoo3,1
ServinPooryamin,131
ShDelfan,16
ShahbanouFarah,2
Shaheenchevv,1
Shahin56802127,2
ShahinMajelan,46
Shahinlooo,2
ShahramKhalatb1,35
ShahramMakoui48,39
ShaunToub,1
ShawnaAzad2,8
ShayanX0,542
Sheina__,1
