Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Multimodal Fusion Validation,0.7391304347826086,0.3783783783783784,0.5185185185185185,0.4375,0.7260593927260593,0.4953632787215239
Multimodal Fusion Test,0.7769784172661871,0.4333333333333333,0.4814814814814814,0.4561403508771929,0.7318121693121694,0.4495192790501718
Tabular+Text Validation,0.7986111111111112,0.4827586206896552,0.5,0.4912280701754385,0.7145935960591133,0.4391586738824008
Tabular+Text Test,0.7412587412587412,0.3636363636363636,0.4285714285714285,0.3934426229508196,0.7099378881987577,0.4089941781190929
Text+Graph Validation,0.5652173913043478,0.28,0.7777777777777778,0.4117647058823529,0.6900233566900233,0.3475421602632401
Text+Graph Test,0.5611510791366906,0.2258064516129032,0.5185185185185185,0.3146067415730337,0.5734126984126985,0.238813435042957
Tabular+Graph Validation,0.717391304347826,0.3636363636363636,0.5925925925925926,0.4507042253521127,0.6950283616950284,0.4284161925530604
Tabular+Graph Test,0.7,0.3076923076923077,0.4444444444444444,0.3636363636363636,0.7410685021304491,0.4226346725595027
