Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Logistic Regression - Validation,0.6666666666666666,0.3387096774193548,0.75,0.4666666666666667,0.7321428571428571,0.44615437592770485
Logistic Regression - Test,0.7083333333333334,0.36,0.6428571428571429,0.46153846153846156,0.7721674876847291,0.49456988262724627
Tabular MLP - Validation,0.7222222222222222,0.375,0.6428571428571429,0.47368421052631576,0.7472290640394088,0.5006345230853585
Tabular MLP - Test,0.6944444444444444,0.3,0.42857142857142855,0.35294117647058826,0.7450738916256158,0.42556287491845546
